tech,region,step,hour,value
Solar_utility,TX,1,1,0.0
Solar_utility,TX,1,10,0.360421
Solar_utility,TX,1,100,0.0
Solar_utility,TX,1,1000,0.43897
Solar_utility,TX,1,1001,0.296325
Solar_utility,TX,1,1002,0.053926
Solar_utility,TX,1,1003,0.0
Solar_utility,TX,1,1004,0.0
Solar_utility,TX,1,1005,0.0
Solar_utility,TX,1,1006,0.0
Solar_utility,TX,1,1007,0.0
Solar_utility,TX,1,1008,0.0
Solar_utility,TX,1,1009,0.0
Solar_utility,TX,1,101,0.0
Solar_utility,TX,1,1010,0.0
Solar_utility,TX,1,1011,0.0
Solar_utility,TX,1,1012,0.0
Solar_utility,TX,1,1013,0.0
Solar_utility,TX,1,1014,0.0
Solar_utility,TX,1,1015,2.1e-05
Solar_utility,TX,1,1016,0.068956
Solar_utility,TX,1,1017,0.443189
Solar_utility,TX,1,1018,0.675395
Solar_utility,TX,1,1019,0.61679
Solar_utility,TX,1,102,0.0
Solar_utility,TX,1,1020,0.698266
Solar_utility,TX,1,1021,0.723539
Solar_utility,TX,1,1022,0.711681
Solar_utility,TX,1,1023,0.698202
Solar_utility,TX,1,1024,0.614614
Solar_utility,TX,1,1025,0.486865
Solar_utility,TX,1,1026,0.087234
Solar_utility,TX,1,1027,0.0
Solar_utility,TX,1,1028,0.0
Solar_utility,TX,1,1029,0.0
Solar_utility,TX,1,103,0.0
Solar_utility,TX,1,1030,0.0
Solar_utility,TX,1,1031,0.0
Solar_utility,TX,1,1032,0.0
Solar_utility,TX,1,1033,0.0
Solar_utility,TX,1,1034,0.0
Solar_utility,TX,1,1035,0.0
Solar_utility,TX,1,1036,0.0
Solar_utility,TX,1,1037,0.0
Solar_utility,TX,1,1038,0.0
Solar_utility,TX,1,1039,0.0
Solar_utility,TX,1,104,0.006692
Solar_utility,TX,1,1040,0.041526
Solar_utility,TX,1,1041,0.371928
Solar_utility,TX,1,1042,0.487773
Solar_utility,TX,1,1043,0.558872
Solar_utility,TX,1,1044,0.570425
Solar_utility,TX,1,1045,0.646121
Solar_utility,TX,1,1046,0.648538
Solar_utility,TX,1,1047,0.601437
Solar_utility,TX,1,1048,0.584752
Solar_utility,TX,1,1049,0.424814
Solar_utility,TX,1,105,0.089999
Solar_utility,TX,1,1050,0.081948
Solar_utility,TX,1,1051,0.0
Solar_utility,TX,1,1052,0.0
Solar_utility,TX,1,1053,0.0
Solar_utility,TX,1,1054,0.0
Solar_utility,TX,1,1055,0.0
Solar_utility,TX,1,1056,0.0
Solar_utility,TX,1,1057,0.0
Solar_utility,TX,1,1058,0.0
Solar_utility,TX,1,1059,0.0
Solar_utility,TX,1,106,0.310484
Solar_utility,TX,1,1060,0.0
Solar_utility,TX,1,1061,0.0
Solar_utility,TX,1,1062,0.0
Solar_utility,TX,1,1063,7e-06
Solar_utility,TX,1,1064,0.038982
Solar_utility,TX,1,1065,0.265957
Solar_utility,TX,1,1066,0.354802
Solar_utility,TX,1,1067,0.417351
Solar_utility,TX,1,1068,0.396257
Solar_utility,TX,1,1069,0.368719
Solar_utility,TX,1,107,0.326153
Solar_utility,TX,1,1070,0.399724
