region,tech,step,cost
CA,NG_Fired_Plant,1,61600
CA,NG_Fired_Plant,2,61600
CA,NG_Fired_Plant,3,61600
TX,NG_Fired_Plant,1,61600
TX,NG_Fired_Plant,2,61600
TX,NG_Fired_Plant,3,61600
NY,NG_Fired_Plant,1,61600
NY,NG_Fired_Plant,2,61600
NY,NG_Fired_Plant,3,61600
CA,H2_Fired_Plant,1,5000
TX,H2_Fired_Plant,1,5000
NY,H2_Fired_Plant,1,5000
CA,Hydro_Plant_seasonal,1,33500
CA,Hydro_Plant_regular,1,33500
TX,Hydro_Plant_seasonal,1,33500
TX,Hydro_Plant_regular,1,33500
NY,Hydro_Plant_seasonal,1,33500
NY,Hydro_Plant_regular,1,33500
CA,Battery_Storage,1,5000
TX,Battery_Storage,1,5000
NY,Battery_Storage,1,5000
CA,Solar_utility,1,20200
CA,Solar_end_use,1,5000
TX,Solar_utility,1,20200
TX,Solar_end_use,1,5000
NY,Solar_utility,1,20200
NY,Solar_end_use,1,5000
