region,season,tech,step,year,cost
TX,1,H2_Fired_Plant,1,2030,0.1
TX,1,H2_Fired_Plant,1,2031,0.1
TX,1,H2_Fired_Plant,1,2032,0.1
TX,1,H2_Fired_Plant,1,2033,0.1
TX,1,H2_Fired_Plant,1,2034,0.1
TX,1,H2_Fired_Plant,1,2035,0.1
TX,1,H2_Fired_Plant,2,2030,0.2
TX,1,H2_Fired_Plant,2,2031,0.2
TX,1,H2_Fired_Plant,2,2032,0.2
TX,1,H2_Fired_Plant,2,2033,0.2
TX,1,H2_Fired_Plant,2,2034,0.2
TX,1,H2_Fired_Plant,2,2035,0.2
TX,1,H2_Fired_Plant,3,2030,0.3
TX,1,H2_Fired_Plant,3,2031,0.3
TX,1,H2_Fired_Plant,3,2032,0.3
TX,1,H2_Fired_Plant,3,2033,0.3
TX,1,H2_Fired_Plant,3,2034,0.3
TX,1,H2_Fired_Plant,3,2035,0.3
TX,2,H2_Fired_Plant,1,2030,999
TX,2,H2_Fired_Plant,1,2031,999
TX,2,H2_Fired_Plant,1,2032,999
TX,2,H2_Fired_Plant,1,2033,999
TX,2,H2_Fired_Plant,1,2034,999
TX,2,H2_Fired_Plant,1,2035,999
TX,3,H2_Fired_Plant,1,2030,0.1
TX,3,H2_Fired_Plant,1,2031,0.1
TX,3,H2_Fired_Plant,1,2032,0.1
TX,3,H2_Fired_Plant,1,2033,0.1
TX,3,H2_Fired_Plant,1,2034,0.1
TX,3,H2_Fired_Plant,1,2035,0.1
TX,4,H2_Fired_Plant,1,2030,0.1
TX,4,H2_Fired_Plant,1,2031,0.1
TX,4,H2_Fired_Plant,1,2032,0.1
TX,4,H2_Fired_Plant,1,2033,0.1
TX,4,H2_Fired_Plant,1,2034,0.1
TX,4,H2_Fired_Plant,1,2035,0.1
CA,1,H2_Fired_Plant,1,2030,0.1
CA,1,H2_Fired_Plant,1,2031,0.1
CA,1,H2_Fired_Plant,1,2032,0.1
CA,1,H2_Fired_Plant,1,2033,0.1
CA,1,H2_Fired_Plant,1,2034,0.1
CA,1,H2_Fired_Plant,1,2035,0.1
CA,1,H2_Fired_Plant,2,2030,0.2
CA,1,H2_Fired_Plant,2,2031,0.2
CA,1,H2_Fired_Plant,2,2032,0.2
CA,1,H2_Fired_Plant,2,2033,0.2
CA,1,H2_Fired_Plant,2,2034,0.2
CA,1,H2_Fired_Plant,2,2035,0.2
CA,1,H2_Fired_Plant,3,2030,0.3
CA,1,H2_Fired_Plant,3,2031,0.3
CA,1,H2_Fired_Plant,3,2032,0.3
CA,1,H2_Fired_Plant,3,2033,0.3
CA,1,H2_Fired_Plant,3,2034,0.3
CA,1,H2_Fired_Plant,3,2035,0.3
CA,2,H2_Fired_Plant,1,2030,999
CA,2,H2_Fired_Plant,1,2031,999
CA,2,H2_Fired_Plant,1,2032,999
CA,2,H2_Fired_Plant,1,2033,999
CA,2,H2_Fired_Plant,1,2034,999
CA,2,H2_Fired_Plant,1,2035,999
CA,3,H2_Fired_Plant,1,2030,0.1
CA,3,H2_Fired_Plant,1,2031,0.1
CA,3,H2_Fired_Plant,1,2032,0.1
CA,3,H2_Fired_Plant,1,2033,0.1
CA,3,H2_Fired_Plant,1,2034,0.1
CA,3,H2_Fired_Plant,1,2035,0.1
CA,4,H2_Fired_Plant,1,2030,0.1
CA,4,H2_Fired_Plant,1,2031,0.1
CA,4,H2_Fired_Plant,1,2032,0.1
CA,4,H2_Fired_Plant,1,2033,0.1
CA,4,H2_Fired_Plant,1,2034,0.1
CA,4,H2_Fired_Plant,1,2035,0.1
NY,1,H2_Fired_Plant,1,2030,0.1
NY,1,H2_Fired_Plant,1,2031,0.1
NY,1,H2_Fired_Plant,1,2032,0.1
NY,1,H2_Fired_Plant,1,2033,0.1
NY,1,H2_Fired_Plant,1,2034,0.1
NY,1,H2_Fired_Plant,1,2035,0.1
NY,1,H2_Fired_Plant,2,2030,0.2
NY,1,H2_Fired_Plant,2,2031,0.2
NY,1,H2_Fired_Plant,2,2032,0.2
NY,1,H2_Fired_Plant,2,2033,0.2
NY,1,H2_Fired_Plant,2,2034,0.2
NY,1,H2_Fired_Plant,2,2035,0.2
NY,1,H2_Fired_Plant,3,2030,0.3
NY,1,H2_Fired_Plant,3,2031,0.3
NY,1,H2_Fired_Plant,3,2032,0.3
NY,1,H2_Fired_Plant,3,2033,0.3
NY,1,H2_Fired_Plant,3,2034,0.3
NY,1,H2_Fired_Plant,3,2035,0.3
NY,2,H2_Fired_Plant,1,2030,999
NY,2,H2_Fired_Plant,1,2031,999
NY,2,H2_Fired_Plant,1,2032,999
NY,2,H2_Fired_Plant,1,2033,999
NY,2,H2_Fired_Plant,1,2034,999
NY,2,H2_Fired_Plant,1,2035,999
NY,3,H2_Fired_Plant,1,2030,0.1
NY,3,H2_Fired_Plant,1,2031,0.1
NY,3,H2_Fired_Plant,1,2032,0.1
NY,3,H2_Fired_Plant,1,2033,0.1
NY,3,H2_Fired_Plant,1,2034,0.1
NY,3,H2_Fired_Plant,1,2035,0.1
NY,4,H2_Fired_Plant,1,2030,0.1
NY,4,H2_Fired_Plant,1,2031,0.1
NY,4,H2_Fired_Plant,1,2032,0.1
NY,4,H2_Fired_Plant,1,2033,0.1
NY,4,H2_Fired_Plant,1,2034,0.1
NY,4,H2_Fired_Plant,1,2035,0.1
