region,tech,step,year,capacity
CA,NG_Fired_Plant,1,2030,0.15
CA,NG_Fired_Plant,2,2030,0.15
CA,NG_Fired_Plant,3,2030,0.15
TX,NG_Fired_Plant,1,2030,3.98
TX,NG_Fired_Plant,2,2030,3.98
TX,NG_Fired_Plant,3,2030,3.98
NY,NG_Fired_Plant,1,2030,0
NY,NG_Fired_Plant,2,2030,0
NY,NG_Fired_Plant,3,2030,0
CA,NG_Fired_Plant,1,2031,0.15
CA,NG_Fired_Plant,2,2031,0.15
CA,NG_Fired_Plant,3,2031,0.15
TX,NG_Fired_Plant,1,2031,3.98
TX,NG_Fired_Plant,2,2031,3.98
TX,NG_Fired_Plant,3,2031,3.98
NY,NG_Fired_Plant,1,2031,0
NY,NG_Fired_Plant,2,2031,0
NY,NG_Fired_Plant,3,2031,0
CA,NG_Fired_Plant,1,2032,0.15
CA,NG_Fired_Plant,2,2032,0.15
CA,NG_Fired_Plant,3,2032,0.15
TX,NG_Fired_Plant,1,2032,3.98
TX,NG_Fired_Plant,2,2032,3.98
TX,NG_Fired_Plant,3,2032,3.98
NY,NG_Fired_Plant,1,2032,0
NY,NG_Fired_Plant,2,2032,0
NY,NG_Fired_Plant,3,2032,0
CA,NG_Fired_Plant,1,2033,0.15
CA,NG_Fired_Plant,2,2033,0.15
CA,NG_Fired_Plant,3,2033,0.15
TX,NG_Fired_Plant,1,2033,3.98
TX,NG_Fired_Plant,2,2033,3.98
TX,NG_Fired_Plant,3,2033,3.98
NY,NG_Fired_Plant,1,2033,0
NY,NG_Fired_Plant,2,2033,0
NY,NG_Fired_Plant,3,2033,0
CA,NG_Fired_Plant,1,2034,0.15
CA,NG_Fired_Plant,2,2034,0.15
CA,NG_Fired_Plant,3,2034,0.15
TX,NG_Fired_Plant,1,2034,3.68
TX,NG_Fired_Plant,2,2034,3.68
TX,NG_Fired_Plant,3,2034,3.68
NY,NG_Fired_Plant,1,2034,0
NY,NG_Fired_Plant,2,2034,0
NY,NG_Fired_Plant,3,2034,0
CA,NG_Fired_Plant,1,2035,0.15
CA,NG_Fired_Plant,2,2035,0.15
CA,NG_Fired_Plant,3,2035,0.15
TX,NG_Fired_Plant,1,2035,3.68
TX,NG_Fired_Plant,2,2035,3.68
TX,NG_Fired_Plant,3,2035,3.68
NY,NG_Fired_Plant,1,2035,0
NY,NG_Fired_Plant,2,2035,0
NY,NG_Fired_Plant,3,2035,0
CA,H2_Fired_Plant,1,2030,0.0001
TX,H2_Fired_Plant,1,2030,0
NY,H2_Fired_Plant,1,2030,0
CA,H2_Fired_Plant,1,2031,0.0001
TX,H2_Fired_Plant,1,2031,0
NY,H2_Fired_Plant,1,2031,0
CA,H2_Fired_Plant,1,2032,0.0001
TX,H2_Fired_Plant,1,2032,0
NY,H2_Fired_Plant,1,2032,0
CA,H2_Fired_Plant,1,2033,0.0001
TX,H2_Fired_Plant,1,2033,0
NY,H2_Fired_Plant,1,2033,0
CA,H2_Fired_Plant,1,2034,0.0001
TX,H2_Fired_Plant,1,2034,0
NY,H2_Fired_Plant,1,2034,0
CA,H2_Fired_Plant,1,2035,0.0001
TX,H2_Fired_Plant,1,2035,0
NY,H2_Fired_Plant,1,2035,0
CA,Hydro_Plant_seasonal,1,2030,0.96
CA,Hydro_Plant_regular,1,2030,0.96
TX,Hydro_Plant_seasonal,1,2030,0.83
TX,Hydro_Plant_regular,1,2030,0.83
NY,Hydro_Plant_seasonal,1,2030,2.24
NY,Hydro_Plant_regular,1,2030,2.24
CA,Hydro_Plant_seasonal,1,2031,0.96
CA,Hydro_Plant_regular,1,2031,0.96
TX,Hydro_Plant_seasonal,1,2031,0.83
TX,Hydro_Plant_regular,1,2031,0.83
NY,Hydro_Plant_seasonal,1,2031,2.24
NY,Hydro_Plant_regular,1,2031,2.24
CA,Hydro_Plant_seasonal,1,2032,0.96
CA,Hydro_Plant_regular,1,2032,0.96
TX,Hydro_Plant_seasonal,1,2032,0.83
TX,Hydro_Plant_regular,1,2032,0.83
NY,Hydro_Plant_seasonal,1,2032,2.24
NY,Hydro_Plant_regular,1,2032,2.24
CA,Hydro_Plant_seasonal,1,2033,0.96
CA,Hydro_Plant_regular,1,2033,0.96
TX,Hydro_Plant_seasonal,1,2033,0.83
TX,Hydro_Plant_regular,1,2033,0.83
NY,Hydro_Plant_seasonal,1,2033,2.24
NY,Hydro_Plant_regular,1,2033,2.24
CA,Hydro_Plant_seasonal,1,2034,0.96
CA,Hydro_Plant_regular,1,2034,0.96
TX,Hydro_Plant_seasonal,1,2034,0.83
TX,Hydro_Plant_regular,1,2034,0.83
NY,Hydro_Plant_seasonal,1,2034,2.24
NY,Hydro_Plant_regular,1,2034,2.24
CA,Hydro_Plant_seasonal,1,2035,0.96
CA,Hydro_Plant_regular,1,2035,0.96
TX,Hydro_Plant_seasonal,1,2035,0.83
TX,Hydro_Plant_regular,1,2035,0.83
NY,Hydro_Plant_seasonal,1,2035,2.24
NY,Hydro_Plant_regular,1,2035,2.24
CA,Battery_Storage,1,2030,1.53
TX,Battery_Storage,1,2030,0
NY,Battery_Storage,1,2030,1.39
CA,Battery_Storage,1,2031,1.53
TX,Battery_Storage,1,2031,0
NY,Battery_Storage,1,2031,1.39
CA,Battery_Storage,1,2032,1.53
TX,Battery_Storage,1,2032,0
NY,Battery_Storage,1,2032,1.39
