region,season,tech,step,year,cost
TX,1,NG_Fired_Plant,1,2030,7.6
TX,1,NG_Fired_Plant,1,2031,7.6
TX,1,NG_Fired_Plant,1,2032,7.6
TX,1,NG_Fired_Plant,1,2033,7.5
TX,1,NG_Fired_Plant,1,2034,7.5
TX,1,NG_Fired_Plant,1,2035,7.5
TX,1,NG_Fired_Plant,2,2030,8.9
TX,1,NG_Fired_Plant,2,2031,8.8
TX,1,NG_Fired_Plant,2,2032,8.8
TX,1,NG_Fired_Plant,2,2033,8.8
TX,1,NG_Fired_Plant,2,2034,8.7
TX,1,NG_Fired_Plant,2,2035,8.7
TX,1,NG_Fired_Plant,3,2030,10.7
TX,1,NG_Fired_Plant,3,2031,10.7
TX,1,NG_Fired_Plant,3,2032,10.6
TX,1,NG_Fired_Plant,3,2033,10.6
TX,1,NG_Fired_Plant,3,2034,10.6
TX,1,NG_Fired_Plant,3,2035,10.6
TX,1,H2_Fired_Plant,1,2030,999
TX,1,H2_Fired_Plant,1,2031,999
TX,1,H2_Fired_Plant,1,2032,999
TX,1,H2_Fired_Plant,1,2033,999
TX,1,H2_Fired_Plant,1,2034,999
TX,1,H2_Fired_Plant,1,2035,999
TX,1,Hydro_Plant_seasonal,1,2030,0.0001
TX,1,Hydro_Plant_seasonal,1,2031,0.0001
TX,1,Hydro_Plant_seasonal,1,2032,0.0001
TX,1,Hydro_Plant_seasonal,1,2033,0.0001
TX,1,Hydro_Plant_seasonal,1,2034,0.0001
TX,1,Hydro_Plant_seasonal,1,2035,0.0001
TX,1,Hydro_Plant_regular,1,2030,0.0001
TX,1,Hydro_Plant_regular,1,2031,0.0001
TX,1,Hydro_Plant_regular,1,2032,0.0001
TX,1,Hydro_Plant_regular,1,2033,0.0001
TX,1,Hydro_Plant_regular,1,2034,0.0001
TX,1,Hydro_Plant_regular,1,2035,0.0001
TX,1,Battery_Storage,1,2030,0.0001
TX,1,Battery_Storage,1,2031,0.0001
TX,1,Battery_Storage,1,2032,0.0001
TX,1,Battery_Storage,1,2033,0.0001
TX,1,Battery_Storage,1,2034,0.0001
TX,1,Battery_Storage,1,2035,0.0001
TX,1,Solar,1,2030,0.0001
TX,1,Solar,1,2031,0.0001
TX,1,Solar,1,2032,0.0001
TX,1,Solar,1,2033,0.0001
TX,1,Solar,1,2034,0.0001
TX,1,Solar,1,2035,0.0001
TX,1,Solar,2,2030,0.0001
TX,1,Solar,2,2031,0.0001
TX,1,Solar,2,2032,0.0001
TX,1,Solar,2,2033,0.0001
TX,1,Solar,2,2034,0.0001
TX,1,Solar,2,2035,0.0001
TX,2,NG_Fired_Plant,1,2030,7.6
TX,2,NG_Fired_Plant,1,2031,7.6
TX,2,NG_Fired_Plant,1,2032,7.6
TX,2,NG_Fired_Plant,1,2033,7.5
TX,2,NG_Fired_Plant,1,2034,7.5
TX,2,NG_Fired_Plant,1,2035,7.5
TX,2,NG_Fired_Plant,2,2030,8.9
TX,2,NG_Fired_Plant,2,2031,8.8
TX,2,NG_Fired_Plant,2,2032,8.8
TX,2,NG_Fired_Plant,2,2033,8.8
TX,2,NG_Fired_Plant,2,2034,8.7
TX,2,NG_Fired_Plant,2,2035,8.7
TX,2,NG_Fired_Plant,3,2030,10.7
TX,2,NG_Fired_Plant,3,2031,10.7
TX,2,NG_Fired_Plant,3,2032,10.6
TX,2,NG_Fired_Plant,3,2033,10.6
TX,2,NG_Fired_Plant,3,2034,10.6
TX,2,NG_Fired_Plant,3,2035,10.6
TX,2,H2_Fired_Plant,1,2030,999
TX,2,H2_Fired_Plant,1,2031,999
TX,2,H2_Fired_Plant,1,2032,999
TX,2,H2_Fired_Plant,1,2033,999
TX,2,H2_Fired_Plant,1,2034,999
TX,2,H2_Fired_Plant,1,2035,999
TX,2,Hydro_Plant_seasonal,1,2030,0.0001
TX,2,Hydro_Plant_seasonal,1,2031,0.0001
TX,2,Hydro_Plant_seasonal,1,2032,0.0001
TX,2,Hydro_Plant_seasonal,1,2033,0.0001
TX,2,Hydro_Plant_seasonal,1,2034,0.0001
TX,2,Hydro_Plant_seasonal,1,2035,0.0001
TX,2,Hydro_Plant_regular,1,2030,0.0001
TX,2,Hydro_Plant_regular,1,2031,0.0001
TX,2,Hydro_Plant_regular,1,2032,0.0001
TX,2,Hydro_Plant_regular,1,2033,0.0001
TX,2,Hydro_Plant_regular,1,2034,0.0001
TX,2,Hydro_Plant_regular,1,2035,0.0001
TX,2,Battery_Storage,1,2030,0.0001
TX,2,Battery_Storage,1,2031,0.0001
TX,2,Battery_Storage,1,2032,0.0001
TX,2,Battery_Storage,1,2033,0.0001
TX,2,Battery_Storage,1,2034,0.0001
TX,2,Battery_Storage,1,2035,0.0001
TX,2,Solar,1,2030,0.0001
TX,2,Solar,1,2031,0.0001
TX,2,Solar,1,2032,0.0001
TX,2,Solar,1,2033,0.0001
TX,2,Solar,1,2034,0.0001
TX,2,Solar,1,2035,0.0001
TX,2,Solar,2,2030,0.0001
TX,2,Solar,2,2031,0.0001
TX,2,Solar,2,2032,0.0001
TX,2,Solar,2,2033,0.0001
TX,2,Solar,2,2034,0.0001
TX,2,Solar,2,2035,0.0001
TX,3,NG_Fired_Plant,1,2030,7.6
TX,3,NG_Fired_Plant,1,2031,7.6
TX,3,NG_Fired_Plant,1,2032,7.6
TX,3,NG_Fired_Plant,1,2033,7.6
TX,3,NG_Fired_Plant,1,2034,7.5
TX,3,NG_Fired_Plant,1,2035,7.5
TX,3,NG_Fired_Plant,2,2030,8.9
TX,3,NG_Fired_Plant,2,2031,8.8
TX,3,NG_Fired_Plant,2,2032,8.8
TX,3,NG_Fired_Plant,2,2033,8.8
TX,3,NG_Fired_Plant,2,2034,8.7
TX,3,NG_Fired_Plant,2,2035,8.7
TX,3,NG_Fired_Plant,3,2030,10.7
TX,3,NG_Fired_Plant,3,2031,10.7
TX,3,NG_Fired_Plant,3,2032,10.6
TX,3,NG_Fired_Plant,3,2033,10.6
TX,3,NG_Fired_Plant,3,2034,10.6
TX,3,NG_Fired_Plant,3,2035,10.6
TX,3,H2_Fired_Plant,1,2030,999
TX,3,H2_Fired_Plant,1,2031,999
TX,3,H2_Fired_Plant,1,2032,999
TX,3,H2_Fired_Plant,1,2033,999
TX,3,H2_Fired_Plant,1,2034,999
TX,3,H2_Fired_Plant,1,2035,999
TX,3,Hydro_Plant_seasonal,1,2030,0.0001
TX,3,Hydro_Plant_seasonal,1,2031,0.0001
TX,3,Hydro_Plant_seasonal,1,2032,0.0001
TX,3,Hydro_Plant_seasonal,1,2033,0.0001
TX,3,Hydro_Plant_seasonal,1,2034,0.0001
TX,3,Hydro_Plant_seasonal,1,2035,0.0001
TX,3,Hydro_Plant_regular,1,2030,0.0001
TX,3,Hydro_Plant_regular,1,2031,0.0001
TX,3,Hydro_Plant_regular,1,2032,0.0001
TX,3,Hydro_Plant_regular,1,2033,0.0001
TX,3,Hydro_Plant_regular,1,2034,0.0001
TX,3,Hydro_Plant_regular,1,2035,0.0001
TX,3,Battery_Storage,1,2030,0.0001
TX,3,Battery_Storage,1,2031,0.0001
TX,3,Battery_Storage,1,2032,0.0001
TX,3,Battery_Storage,1,2033,0.0001
