source_region,destination_region,year,cost
TX,TX,2030,1
TX,TX,2031,1
TX,TX,2032,1
TX,TX,2033,1
TX,TX,2034,1
TX,TX,2035,1
TX,CA,2030,1
TX,CA,2031,1
TX,CA,2032,1
TX,CA,2033,1
TX,CA,2034,1
TX,CA,2035,1
TX,NY,2030,1
TX,NY,2031,1
TX,NY,2032,1
TX,NY,2033,1
TX,NY,2034,1
TX,NY,2035,1
CA,TX,2030,1
CA,TX,2031,1
CA,TX,2032,1
CA,TX,2033,1
CA,TX,2034,1
CA,TX,2035,1
CA,CA,2030,1
CA,CA,2031,1
CA,CA,2032,1
CA,CA,2033,1
CA,CA,2034,1
CA,CA,2035,1
CA,NY,2030,1
CA,NY,2031,1
CA,NY,2032,1
CA,NY,2033,1
CA,NY,2034,1
CA,NY,2035,1
NY,TX,2030,1
NY,TX,2031,1
NY,TX,2032,1
NY,TX,2033,1
NY,TX,2034,1
NY,TX,2035,1
NY,CA,2030,1
NY,CA,2031,1
NY,CA,2032,1
NY,CA,2033,1
NY,CA,2034,1
NY,CA,2035,1
NY,NY,2030,1
NY,NY,2031,1
NY,NY,2032,1
NY,NY,2033,1
NY,NY,2034,1
NY,NY,2035,1
