region,region_international,step,year,TranCostInt
TX,Mexico,1,2030,3.97
TX,Mexico,1,2031,3.97
TX,Mexico,1,2032,3.97
TX,Mexico,1,2033,3.97
TX,Mexico,1,2034,3.97
TX,Mexico,1,2035,3.97
TX,Mexico,2,2030,8.71
TX,Mexico,2,2031,8.71
TX,Mexico,2,2032,8.71
TX,Mexico,2,2033,8.71
TX,Mexico,2,2034,8.71
TX,Mexico,2,2035,8.71
TX,Mexico,3,2030,24.72
TX,Mexico,3,2031,24.72
TX,Mexico,3,2032,24.72
TX,Mexico,3,2033,24.72
TX,Mexico,3,2034,24.72
TX,Mexico,3,2035,24.72
TX,Mexico,4,2030,27.69
TX,Mexico,4,2031,27.69
TX,Mexico,4,2032,27.69
TX,Mexico,4,2033,27.69
TX,Mexico,4,2034,27.69
TX,Mexico,4,2035,27.69
CA,Mexico,1,2030,3.97
CA,Mexico,1,2031,3.97
CA,Mexico,1,2032,3.97
CA,Mexico,1,2033,3.97
CA,Mexico,1,2034,3.97
CA,Mexico,1,2035,3.97
CA,Mexico,2,2030,8.71
CA,Mexico,2,2031,8.71
CA,Mexico,2,2032,8.71
CA,Mexico,2,2033,8.71
CA,Mexico,2,2034,8.71
CA,Mexico,2,2035,8.71
CA,Mexico,3,2030,24.72
CA,Mexico,3,2031,24.72
CA,Mexico,3,2032,24.72
CA,Mexico,3,2033,24.72
CA,Mexico,3,2034,24.72
CA,Mexico,3,2035,24.72
CA,Mexico,4,2030,27.69
CA,Mexico,4,2031,27.69
CA,Mexico,4,2032,27.69
CA,Mexico,4,2033,27.69
CA,Mexico,4,2034,27.69
CA,Mexico,4,2035,27.69
NY,Mexico,1,2030,3.97
NY,Mexico,1,2031,3.97
NY,Mexico,1,2032,3.97
NY,Mexico,1,2033,3.97
NY,Mexico,1,2034,3.97
NY,Mexico,1,2035,3.97
NY,Mexico,2,2030,8.71
NY,Mexico,2,2031,8.71
NY,Mexico,2,2032,8.71
NY,Mexico,2,2033,8.71
NY,Mexico,2,2034,8.71
NY,Mexico,2,2035,8.71
NY,Mexico,3,2030,24.72
NY,Mexico,3,2031,24.72
NY,Mexico,3,2032,24.72
NY,Mexico,3,2033,24.72
NY,Mexico,3,2034,24.72
NY,Mexico,3,2035,24.72
NY,Mexico,4,2030,27.69
NY,Mexico,4,2031,27.69
NY,Mexico,4,2032,27.69
NY,Mexico,4,2033,27.69
NY,Mexico,4,2034,27.69
NY,Mexico,4,2035,27.69
