destination_region,source_region,season,year,value
CA,NY,1,2030,1.4
CA,NY,1,2031,1.4
CA,NY,1,2032,1.4
CA,NY,1,2033,1.4
CA,NY,1,2034,1.4
CA,NY,1,2035,1.4
CA,NY,2,2030,1.4
CA,NY,2,2031,1.4
CA,NY,2,2032,1.4
CA,NY,2,2033,1.4
CA,NY,2,2034,1.4
CA,NY,2,2035,1.4
CA,NY,3,2030,1.4
CA,NY,3,2031,1.4
CA,NY,3,2032,1.4
CA,NY,3,2033,1.4
CA,NY,3,2034,1.4
CA,NY,3,2035,1.4
CA,NY,4,2030,1.4
CA,NY,4,2031,1.4
CA,NY,4,2032,1.4
CA,NY,4,2033,1.4
CA,NY,4,2034,1.4
CA,NY,4,2035,1.4
CA,TX,1,2030,1.4
CA,TX,1,2031,1.4
CA,TX,1,2032,1.4
CA,TX,1,2033,1.4
CA,TX,1,2034,1.4
CA,TX,1,2035,1.4
CA,TX,2,2030,1.4
CA,TX,2,2031,1.4
CA,TX,2,2032,1.4
CA,TX,2,2033,1.4
CA,TX,2,2034,1.4
CA,TX,2,2035,1.4
CA,TX,3,2030,1.4
CA,TX,3,2031,1.4
CA,TX,3,2032,1.4
CA,TX,3,2033,1.4
CA,TX,3,2034,1.4
CA,TX,3,2035,1.4
CA,TX,4,2030,1.4
CA,TX,4,2031,1.4
CA,TX,4,2032,1.4
CA,TX,4,2033,1.4
CA,TX,4,2034,1.4
CA,TX,4,2035,1.4
NY,CA,1,2030,1.4
NY,CA,1,2031,1.4
NY,CA,1,2032,1.4
NY,CA,1,2033,1.4
NY,CA,1,2034,1.4
NY,CA,1,2035,1.4
NY,CA,2,2030,1.4
NY,CA,2,2031,1.4
NY,CA,2,2032,1.4
NY,CA,2,2033,1.4
NY,CA,2,2034,1.4
NY,CA,2,2035,1.4
NY,CA,3,2030,1.4
NY,CA,3,2031,1.4
NY,CA,3,2032,1.4
NY,CA,3,2033,1.4
NY,CA,3,2034,1.4
NY,CA,3,2035,1.4
NY,CA,4,2030,1.4
NY,CA,4,2031,1.4
NY,CA,4,2032,1.4
NY,CA,4,2033,1.4
NY,CA,4,2034,1.4
NY,CA,4,2035,1.4
NY,TX,1,2030,1.4
NY,TX,1,2031,1.4
NY,TX,1,2032,1.4
NY,TX,1,2033,1.4
NY,TX,1,2034,1.4
NY,TX,1,2035,1.4
NY,TX,2,2030,1.4
NY,TX,2,2031,1.4
NY,TX,2,2032,1.4
NY,TX,2,2033,1.4
NY,TX,2,2034,1.4
NY,TX,2,2035,1.4
NY,TX,3,2030,1.4
NY,TX,3,2031,1.4
NY,TX,3,2032,1.4
NY,TX,3,2033,1.4
NY,TX,3,2034,1.4
NY,TX,3,2035,1.4
NY,TX,4,2030,1.4
NY,TX,4,2031,1.4
NY,TX,4,2032,1.4
NY,TX,4,2033,1.4
NY,TX,4,2034,1.4
NY,TX,4,2035,1.4
TX,CA,1,2030,1.4
TX,CA,1,2031,1.4
TX,CA,1,2032,1.4
TX,CA,1,2033,1.4
TX,CA,1,2034,1.4
TX,CA,1,2035,1.4
TX,CA,2,2030,1.4
TX,CA,2,2031,1.4
TX,CA,2,2032,1.4
TX,CA,2,2033,1.4
TX,CA,2,2034,1.4
TX,CA,2,2035,1.4
TX,CA,3,2030,1.4
TX,CA,3,2031,1.4
TX,CA,3,2032,1.4
TX,CA,3,2033,1.4
TX,CA,3,2034,1.4
TX,CA,3,2035,1.4
TX,CA,4,2030,1.4
TX,CA,4,2031,1.4
TX,CA,4,2032,1.4
TX,CA,4,2033,1.4
TX,CA,4,2034,1.4
TX,CA,4,2035,1.4
TX,NY,1,2030,1.4
TX,NY,1,2031,1.4
TX,NY,1,2032,1.4
TX,NY,1,2033,1.4
TX,NY,1,2034,1.4
TX,NY,1,2035,1.4
TX,NY,2,2030,1.4
TX,NY,2,2031,1.4
TX,NY,2,2032,1.4
TX,NY,2,2033,1.4
TX,NY,2,2034,1.4
TX,NY,2,2035,1.4
TX,NY,3,2030,1.4
TX,NY,3,2031,1.4
TX,NY,3,2032,1.4
TX,NY,3,2033,1.4
TX,NY,3,2034,1.4
TX,NY,3,2035,1.4
TX,NY,4,2030,1.4
TX,NY,4,2031,1.4
TX,NY,4,2032,1.4
TX,NY,4,2033,1.4
TX,NY,4,2034,1.4
TX,NY,4,2035,1.4
