region,region_international,year,season,TranLimitCapInt
CA,Mexico,2030,1,0.2
CA,Mexico,2030,2,0.2
CA,Mexico,2030,3,0.2
CA,Mexico,2030,4,0.2
CA,Mexico,2031,1,0.2
CA,Mexico,2031,2,0.2
CA,Mexico,2031,3,0.2
CA,Mexico,2031,4,0.2
CA,Mexico,2032,1,0.2
CA,Mexico,2032,2,0.2
CA,Mexico,2032,3,0.2
CA,Mexico,2032,4,0.2
CA,Mexico,2033,1,0.2
CA,Mexico,2033,2,0.2
CA,Mexico,2033,3,0.2
CA,Mexico,2033,4,0.2
CA,Mexico,2034,1,0.2
CA,Mexico,2034,2,0.2
CA,Mexico,2034,3,0.2
CA,Mexico,2034,4,0.2
CA,Mexico,2035,1,0.2
CA,Mexico,2035,2,0.2
CA,Mexico,2035,3,0.2
CA,Mexico,2035,4,0.2
NY,Mexico,2030,1,0.2
NY,Mexico,2030,2,0.2
NY,Mexico,2030,3,0.2
NY,Mexico,2030,4,0.2
NY,Mexico,2031,1,0.2
NY,Mexico,2031,2,0.2
NY,Mexico,2031,3,0.2
NY,Mexico,2031,4,0.2
NY,Mexico,2032,1,0.2
NY,Mexico,2032,2,0.2
NY,Mexico,2032,3,0.2
NY,Mexico,2032,4,0.2
NY,Mexico,2033,1,0.2
NY,Mexico,2033,2,0.2
NY,Mexico,2033,3,0.2
NY,Mexico,2033,4,0.2
NY,Mexico,2034,1,0.2
NY,Mexico,2034,2,0.2
NY,Mexico,2034,3,0.2
NY,Mexico,2034,4,0.2
NY,Mexico,2035,1,0.2
NY,Mexico,2035,2,0.2
NY,Mexico,2035,3,0.2
NY,Mexico,2035,4,0.2
TX,Mexico,2030,1,0.2
TX,Mexico,2030,2,0.2
TX,Mexico,2030,3,0.2
TX,Mexico,2030,4,0.2
TX,Mexico,2031,1,0.2
TX,Mexico,2031,2,0.2
TX,Mexico,2031,3,0.2
TX,Mexico,2031,4,0.2
TX,Mexico,2032,1,0.2
TX,Mexico,2032,2,0.2
TX,Mexico,2032,3,0.2
TX,Mexico,2032,4,0.2
TX,Mexico,2033,1,0.2
TX,Mexico,2033,2,0.2
TX,Mexico,2033,3,0.2
TX,Mexico,2033,4,0.2
TX,Mexico,2034,1,0.2
TX,Mexico,2034,2,0.2
TX,Mexico,2034,3,0.2
TX,Mexico,2034,4,0.2
TX,Mexico,2035,1,0.2
TX,Mexico,2035,2,0.2
TX,Mexico,2035,3,0.2
TX,Mexico,2035,4,0.2
