region_international,step,year,season,generation
Mexico,1,2030,1,0.085698
Mexico,1,2031,1,0.085698
Mexico,1,2032,1,0.085698
Mexico,1,2033,1,0.085698
Mexico,1,2034,1,0.085698
Mexico,1,2035,1,0.085698
Mexico,2,2030,1,0.326188
Mexico,2,2031,1,0.326188
Mexico,2,2032,1,0.326188
Mexico,2,2033,1,0.326188
Mexico,2,2034,1,0.326188
Mexico,2,2035,1,0.326188
Mexico,3,2030,1,0.1202
Mexico,3,2031,1,0.1202
Mexico,3,2032,1,0.1202
Mexico,3,2033,1,0.1202
Mexico,3,2034,1,0.1202
Mexico,3,2035,1,0.1202
Mexico,4,2030,1,0.0055
Mexico,4,2031,1,0.0055
Mexico,4,2032,1,0.0055
Mexico,4,2033,1,0.0055
Mexico,4,2034,1,0.0055
Mexico,4,2035,1,0.0055
Mexico,1,2030,2,0.812225
Mexico,1,2031,2,0.812225
Mexico,1,2032,2,0.812225
Mexico,1,2033,2,0.812225
Mexico,1,2034,2,0.812225
Mexico,1,2035,2,0.812225
Mexico,2,2030,2,0.352299
Mexico,2,2031,2,0.352299
Mexico,2,2032,2,0.352299
Mexico,2,2033,2,0.352299
Mexico,2,2034,2,0.352299
Mexico,2,2035,2,0.352299
Mexico,3,2030,2,0.1202
Mexico,3,2031,2,0.1202
Mexico,3,2032,2,0.1202
Mexico,3,2033,2,0.1202
Mexico,3,2034,2,0.1202
Mexico,3,2035,2,0.1202
Mexico,4,2030,2,0.0055
Mexico,4,2031,2,0.0055
Mexico,4,2032,2,0.0055
Mexico,4,2033,2,0.0055
Mexico,4,2034,2,0.0055
Mexico,4,2035,2,0.0055
Mexico,1,2030,3,0.812649
Mexico,1,2031,3,0.812649
Mexico,1,2032,3,0.812649
Mexico,1,2033,3,0.812649
Mexico,1,2034,3,0.812649
Mexico,1,2035,3,0.812649
Mexico,2,2030,3,0.3523
Mexico,2,2031,3,0.3523
Mexico,2,2032,3,0.3523
Mexico,2,2033,3,0.3523
Mexico,2,2034,3,0.3523
Mexico,2,2035,3,0.3523
Mexico,3,2030,3,0.1202
Mexico,3,2031,3,0.1202
Mexico,3,2032,3,0.1202
Mexico,3,2033,3,0.1202
Mexico,3,2034,3,0.1202
Mexico,3,2035,3,0.1202
Mexico,4,2030,3,0.0055
Mexico,4,2031,3,0.0055
Mexico,4,2032,3,0.0055
Mexico,4,2033,3,0.0055
Mexico,4,2034,3,0.0055
Mexico,4,2035,3,0.0055
Mexico,1,2030,4,0.812649
Mexico,1,2031,4,0.812649
Mexico,1,2032,4,0.812649
Mexico,1,2033,4,0.812649
Mexico,1,2034,4,0.812649
Mexico,1,2035,4,0.812649
Mexico,2,2030,4,0.3523
Mexico,2,2031,4,0.3523
Mexico,2,2032,4,0.3523
Mexico,2,2033,4,0.3523
Mexico,2,2034,4,0.3523
Mexico,2,2035,4,0.3523
Mexico,3,2030,4,0.1202
Mexico,3,2031,4,0.1202
Mexico,3,2032,4,0.1202
Mexico,3,2033,4,0.1202
Mexico,3,2034,4,0.1202
Mexico,3,2035,4,0.1202
Mexico,4,2030,4,0.0055
Mexico,4,2031,4,0.0055
Mexico,4,2032,4,0.0055
Mexico,4,2033,4,0.0055
Mexico,4,2034,4,0.0055
Mexico,4,2035,4,0.0055
