# Share of extra Canadian NA production that reaches the US: AEO2026 net US pipeline
# imports from Canada (AEO2026Results/sup_ogc.xlsx, Table 61, Tcf converted to BCF) divided by
# Canada's NA reference production in western Canada (can_na_reference.csv).
year,net_imports_bcf,export_share
2023,2136.2,0.3759
2024,2136.2,0.323
2025,2136.2,0.2731
2026,2243.9,0.2602
2027,2142.4,0.2378
2028,1731.3,0.1886
2029,1621.9,0.168
2030,1762.0,0.174
2031,1679.0,0.1607
2032,1533.4,0.1451
2033,1131.7,0.1062
2034,813.1,0.0757
2035,811.2,0.0734
2036,892.1,0.0787
2037,998.6,0.0859
2038,1033.3,0.0867
2039,1038.5,0.0851
2040,921.4,0.0753
2041,711.6,0.0585
2042,744.3,0.0598
2043,823.5,0.0646
2044,951.6,0.073
2045,929.6,0.071
2046,781.5,0.0599
2047,803.5,0.0602
2048,903.1,0.0661
2049,1043.6,0.0746
2050,1194.6,0.0834
