elec_region,elec_region_name,state,census_division,state_pop_share,pop_thousands
1,TRE (Texas Reliability Entity),TX,west_south_central,0.85,24774.1
2,FRCC (Florida Reliability Coordinating Council),FL,south_atlantic,0.95,20461.1
3,MISW (Midcontinent ISO/West),IA,west_north_central,0.8,2552.0
3,MISW (Midcontinent ISO/West),MN,west_north_central,0.9,5135.4
3,MISW (Midcontinent ISO/West),MT,mountain,0.15,162.6
3,MISW (Midcontinent ISO/West),ND,west_north_central,0.5,389.5
3,MISW (Midcontinent ISO/West),SD,west_north_central,0.4,354.8
3,MISW (Midcontinent ISO/West),WI,east_north_central,1,5894.0
4,MISC (Midcontinent ISO/Central),IL,east_north_central,0.35,4484.5
4,MISC (Midcontinent ISO/Central),IN,east_north_central,0.7,4750.2
4,MISC (Midcontinent ISO/Central),MO,west_north_central,0.45,2769.8
5,MISE (Midcontinent ISO/East),MI,east_north_central,0.9,9069.3
6,MISS (Midcontinent ISO/South),AR,west_south_central,0.75,2258.2
6,MISS (Midcontinent ISO/South),LA,west_south_central,1,4658.0
6,MISS (Midcontinent ISO/South),MS,east_south_central,0.65,1924.7
6,MISS (Midcontinent ISO/South),TX,west_south_central,0.05,1457.3
7,ISNE (NPCC/New England),CT,new_england,1,3606.0
7,ISNE (NPCC/New England),MA,new_england,1,7030.0
7,ISNE (NPCC/New England),ME,new_england,1,1362.0
7,ISNE (NPCC/New England),NH,new_england,1,1378.0
7,ISNE (NPCC/New England),RI,new_england,1,1097.0
7,ISNE (NPCC/New England),VT,new_england,1,643.0
8,NYCW (NPCC/NYC & Long Island),NY,middle_atlantic,0.63,12726.6
9,NYUP (NPCC/Upstate NY),NY,middle_atlantic,0.37,7474.4
10,PJME (PJM/East),DC,south_atlantic,1,689.0
10,PJME (PJM/East),DE,south_atlantic,1,990.0
10,PJME (PJM/East),MD,south_atlantic,1,6177.0
10,PJME (PJM/East),NJ,middle_atlantic,1,9289.0
10,PJME (PJM/East),PA,middle_atlantic,0.55,7151.7
11,PJMW (PJM/West),IN,east_north_central,0.3,2035.8
11,PJMW (PJM/West),KY,east_south_central,0.4,1802.4
11,PJMW (PJM/West),MI,east_north_central,0.1,1007.7
11,PJMW (PJM/West),OH,east_north_central,1,11799.0
11,PJMW (PJM/West),PA,middle_atlantic,0.45,5851.4
11,PJMW (PJM/West),WV,south_atlantic,1,1794.0
12,PJMC (PJM/Commonwealth Edison),IL,east_north_central,0.65,8328.5
13,PJMD (PJM/Dominion),NC,south_atlantic,0.1,1043.9
13,PJMD (PJM/Dominion),VA,south_atlantic,0.9,7768.8
14,SRCA (SERC Reliability Corporation/East),NC,south_atlantic,0.9,9395.1
14,SRCA (SERC Reliability Corporation/East),SC,south_atlantic,1,5118.0
15,SRSE (SERC Reliability Corporation/Southeast),AL,east_south_central,0.6,3014.4
15,SRSE (SERC Reliability Corporation/Southeast),FL,south_atlantic,0.05,1076.9
15,SRSE (SERC Reliability Corporation/Southeast),GA,south_atlantic,1,10712.0
15,SRSE (SERC Reliability Corporation/Southeast),MS,east_south_central,0.15,444.1
16,SRCE (SERC Reliability Corporation/Central),AL,east_south_central,0.4,2009.6
16,SRCE (SERC Reliability Corporation/Central),KY,east_south_central,0.6,2703.6
16,SRCE (SERC Reliability Corporation/Central),MO,west_north_central,0.1,615.5
16,SRCE (SERC Reliability Corporation/Central),MS,east_south_central,0.2,592.2
16,SRCE (SERC Reliability Corporation/Central),TN,east_south_central,1,6911.0
16,SRCE (SERC Reliability Corporation/Central),VA,south_atlantic,0.1,863.2
17,SPPS (Southwest Power Pool/South),AR,west_south_central,0.25,752.8
17,SPPS (Southwest Power Pool/South),NM,mountain,0.1,211.7
17,SPPS (Southwest Power Pool/South),OK,west_south_central,1,3959.0
17,SPPS (Southwest Power Pool/South),TX,west_south_central,0.07,2040.2
18,SPPC (Southwest Power Pool/Central),KS,west_north_central,1,2938.0
18,SPPC (Southwest Power Pool/Central),MO,west_north_central,0.45,2769.8
19,SPPN (Southwest Power Pool/North),IA,west_north_central,0.2,638.0
19,SPPN (Southwest Power Pool/North),MN,west_north_central,0.1,570.6
19,SPPN (Southwest Power Pool/North),ND,west_north_central,0.5,389.5
19,SPPN (Southwest Power Pool/North),NE,west_north_central,1,1961.0
19,SPPN (Southwest Power Pool/North),SD,west_north_central,0.6,532.2
20,SRSG (WECC/Southwest),AZ,mountain,1,7152.0
20,SRSG (WECC/Southwest),NM,mountain,0.9,1905.3
20,SRSG (WECC/Southwest),TX,west_south_central,0.03,874.4
21,CANO (WECC/CA North),CA,pacific,0.35,13838.3
22,CASO (WECC/CA South),CA,pacific,0.65,25699.7
23,NWPP (WECC/Northwest Power Pool),ID,mountain,0.55,1011.5
23,NWPP (WECC/Northwest Power Pool),MT,mountain,0.85,921.4
23,NWPP (WECC/Northwest Power Pool),OR,pacific,1,4237.0
23,NWPP (WECC/Northwest Power Pool),WA,pacific,1,7706.0
24,RMRG (WECC/Rockies),CO,mountain,1,5773.0
24,RMRG (WECC/Rockies),WY,mountain,0.55,317.4
25,BASN (WECC/Basin),ID,mountain,0.45,827.6
25,BASN (WECC/Basin),NV,mountain,1,3105.0
25,BASN (WECC/Basin),UT,mountain,1,3272.0
25,BASN (WECC/Basin),WY,mountain,0.45,259.7
