elec_region,elec_region_name,ng_region
1,ERCT (Texas),west_south_central
2,FRCC (Florida),south_atlantic
3,MROE (E Midwest),east_north_central
4,MROW (W Midwest),west_north_central
5,NEWE (New England),new_england
6,NYCW (New York City),middle_atlantic
7,NYLI (NY Long Island),middle_atlantic
8,NYUP (Upstate New York),middle_atlantic
9,PJMC (PJM Chicago),east_north_central
10,PJMD (PJM Dominion),south_atlantic
11,PJME (PJM East),middle_atlantic
12,PJMW (PJM West),east_north_central
13,RMPA (Rocky Mountain),mountain
14,SPNO (SPP North),west_north_central
15,SPSO (SPP South),west_south_central
16,SRCA (SERC Carolinas),south_atlantic
17,SRCE (SERC Central),east_south_central
18,SRCG (SERC Gulf),east_south_central
19,SRSE (SERC Southeast),south_atlantic
20,SRVC (SERC Virginia),south_atlantic
21,WECC-CA (California),pacific
22,WECC-CNV (Colorado/Nevada),mountain
23,WECC-IDD (Idaho),mountain
24,WECC-NNV (N Nevada),mountain
25,WECC-PNW (Pacific NW),pacific
