region,sector,demand_bcf_2025
new_england,electric_power,225.3
new_england,industrial,247.1
new_england,residential,408.4
new_england,commercial,349.2
new_england,transportation,4.3
middle_atlantic,electric_power,848.7
middle_atlantic,industrial,1005.6
middle_atlantic,residential,822.0
middle_atlantic,commercial,601.4
middle_atlantic,transportation,8.6
east_north_central,electric_power,1309.8
east_north_central,industrial,1551.0
east_north_central,residential,734.1
east_north_central,commercial,514.1
east_north_central,transportation,12.5
west_north_central,electric_power,859.2
west_north_central,industrial,690.3
west_north_central,residential,429.1
west_north_central,commercial,295.9
west_north_central,transportation,9.0
south_atlantic,electric_power,2148.0
south_atlantic,industrial,860.7
south_atlantic,residential,641.0
south_atlantic,commercial,494.7
south_atlantic,transportation,12.2
east_south_central,electric_power,869.7
east_south_central,industrial,528.4
east_south_central,residential,325.7
east_south_central,commercial,203.7
east_south_central,transportation,4.7
west_south_central,electric_power,3688.3
west_south_central,industrial,2599.2
west_south_central,residential,527.3
west_south_central,commercial,402.6
west_south_central,transportation,20.4
mountain,electric_power,1498.4
mountain,industrial,698.8
mountain,residential,429.1
mountain,commercial,295.9
mountain,transportation,9.0
pacific,electric_power,1383.1
pacific,industrial,434.6
pacific,residential,429.1
pacific,commercial,349.2
pacific,transportation,4.7
