region,year,q0_mult,p0_mult
new_england,2025,1.0,1.0
new_england,2030,1.0,1.0422
new_england,2035,1.0,1.0372
new_england,2040,1.0,1.0733
new_england,2045,1.0,1.0564
new_england,2050,1.0,1.0221
middle_atlantic,2025,1.0,1.0
middle_atlantic,2030,1.2034,1.0422
middle_atlantic,2035,1.4738,1.0372
middle_atlantic,2040,1.6475,1.0733
middle_atlantic,2045,1.7767,1.0564
middle_atlantic,2050,1.9107,1.0221
east_north_central,2025,1.0,1.0
east_north_central,2030,1.2034,1.0422
east_north_central,2035,1.4738,1.0372
east_north_central,2040,1.6475,1.0733
east_north_central,2045,1.7767,1.0564
east_north_central,2050,1.9107,1.0221
west_north_central,2025,1.0,1.0
west_north_central,2030,0.7727,1.14
west_north_central,2035,0.9234,1.1957
west_north_central,2040,1.0889,1.2058
west_north_central,2045,1.2371,1.1567
west_north_central,2050,1.2035,1.1279
south_atlantic,2025,1.0,1.0
south_atlantic,2030,1.2034,1.0422
south_atlantic,2035,1.4738,1.0372
south_atlantic,2040,1.6475,1.0733
south_atlantic,2045,1.7767,1.0564
south_atlantic,2050,1.9107,1.0221
east_south_central,2025,1.0,1.0
east_south_central,2030,1.039,1.098
east_south_central,2035,1.0471,1.1534
east_south_central,2040,0.8914,1.1819
east_south_central,2045,0.8673,1.1466
east_south_central,2050,0.9351,1.1109
west_south_central,2025,1.0,1.0
west_south_central,2030,1.0384,1.098
west_south_central,2035,1.0497,1.1534
west_south_central,2040,1.0039,1.1819
west_south_central,2045,1.0441,1.1466
west_south_central,2050,1.0867,1.1109
mountain,2025,1.0,1.0
mountain,2030,0.9182,1.1648
mountain,2035,0.8254,1.2451
mountain,2040,0.8864,1.2515
mountain,2045,0.9882,1.2024
mountain,2050,0.9965,1.1782
pacific,2025,1.0,1.0
pacific,2030,0.661,1.2404
pacific,2035,0.5169,1.3464
pacific,2040,0.453,1.3591
pacific,2045,0.415,1.3162
pacific,2050,0.3885,1.2786
