region,cost_tier,capacity_bcf,cost_per_mmbtu
new_england,low_cost,22.5,2.33
new_england,medium_cost,17.5,3.26
new_england,high_cost,10.0,3.83
middle_atlantic,low_cost,10664.2,2.33
middle_atlantic,medium_cost,8294.4,3.26
middle_atlantic,high_cost,4739.6,3.83
east_north_central,low_cost,4816.1,2.33
east_north_central,medium_cost,3745.8,3.26
east_north_central,high_cost,2140.5,3.83
west_north_central,low_cost,2055.7,3.06
west_north_central,medium_cost,1598.9,4.29
west_north_central,high_cost,913.6,5.03
south_atlantic,low_cost,1720.0,2.33
south_atlantic,medium_cost,1337.8,3.26
south_atlantic,high_cost,764.5,3.83
east_south_central,low_cost,1403.5,3.58
east_south_central,medium_cost,1091.6,5.01
east_south_central,high_cost,623.8,5.88
west_south_central,low_cost,10600.4,3.58
west_south_central,medium_cost,8244.8,5.01
west_south_central,high_cost,4711.3,5.88
mountain,low_cost,4371.5,3.11
mountain,medium_cost,3400.0,4.35
mountain,high_cost,1942.9,5.1
pacific,low_cost,48.4,3.0
pacific,medium_cost,37.6,4.2
pacific,high_cost,21.5,4.93
