# Net natural gas exports (LNG + pipeline) = AEO2026 production - consumption (Table 59/62), distributed across export hubs.
region,year,demand_bcf
west_south_central,2025,6299.0
south_atlantic,2025,1350.0
middle_atlantic,2025,1350.0
west_south_central,2030,9000.0
south_atlantic,2030,1929.0
middle_atlantic,2030,1929.0
west_south_central,2035,11012.0
south_atlantic,2035,2360.0
middle_atlantic,2035,2360.0
west_south_central,2040,11420.0
south_atlantic,2040,2447.0
middle_atlantic,2040,2447.0
west_south_central,2045,12118.0
south_atlantic,2045,2597.0
middle_atlantic,2045,2597.0
west_south_central,2050,12504.0
south_atlantic,2050,2679.0
middle_atlantic,2050,2679.0
