year,enduse_cat,increment_annual
2030,res_heating,0
2031,res_heating,0
2032,res_heating,0
2033,res_heating,0
2034,res_heating,0
2035,res_heating,0
2030,res_cooling,0.28
2031,res_cooling,0.32
2032,res_cooling,0.36
2033,res_cooling,0.4
2034,res_cooling,0.44
2035,res_cooling,0.48
2030,res_waterheater,0.014
2031,res_waterheater,0.016
2032,res_waterheater,0.018
2033,res_waterheater,0.02
2034,res_waterheater,0.022
2035,res_waterheater,0.024
2030,res_refrigeration,0.035
2031,res_refrigeration,0.04
2032,res_refrigeration,0.045
2033,res_refrigeration,0.05
2034,res_refrigeration,0.055
2035,res_refrigeration,0.06
2030,res_other,0.07
2031,res_other,0.08
2032,res_other,0.09
2033,res_other,0.1
2034,res_other,0.11
2035,res_other,0.12
2030,com_heating,0
2031,com_heating,0
2032,com_heating,0
2033,com_heating,0
2034,com_heating,0
2035,com_heating,0
2030,com_cooling,0.14
2031,com_cooling,0.16
2032,com_cooling,0.18
2033,com_cooling,0.2
2034,com_cooling,0.22
2035,com_cooling,0.24
2030,com_refrigeration,0.014
2031,com_refrigeration,0.016
2032,com_refrigeration,0.018
2033,com_refrigeration,0.02
2034,com_refrigeration,0.022
2035,com_refrigeration,0.024
2030,com_other,0.035
2031,com_other,0.04
2032,com_other,0.045
2033,com_other,0.05
2034,com_other,0.055
2035,com_other,0.06
2030,everything_else,0.07
2031,everything_else,0.08
2032,everything_else,0.09
2033,everything_else,0.1
2034,everything_else,0.11
2035,everything_else,0.12
